abscissa	curvature	X	Y	theta	width_L	width_R
0.00000000000000000000e+00	1.28805908004646293974e-02	0.00000000000000000000e+00	0.00000000000000000000e+00	1.37759622652426746476e-08	4.00000000000000000000e+00	4.00000000000000000000e+00
9.35067919348167997384e+00	7.25087648092063302707e-03	9.33484216931095467373e+00	4.80684917450111215409e-01	9.41214597276537334736e-02	4.00000000000000000000e+00	4.00000000000000000000e+00
1.90040674950258541287e+01	7.51510234736587397902e-03	1.89053174969707100672e+01	1.72746781614137567828e+00	1.65392323161536264342e-01	4.00000000000000000000e+00	4.00000000000000000000e+00
2.66416663096588450799e+01	-4.14482821929726269472e-02	2.64706714001375544854e+01	2.73018686740660498913e+00	3.58083161511742464889e-02	4.00000000000000000000e+00	4.00000000000000000000e+00
3.28509097840113071243e+01	-6.41399217461867746093e-03	3.26640581350419907380e+01	2.37911985474970144594e+00	-1.12785941219220572918e-01	4.00000000000000000000e+00	4.00000000000000000000e+00
3.83620192760095122253e+01	-1.33765375379386397894e-03	3.81315116059368079959e+01	1.68767745643260536070e+00	-1.34146025995190626423e-01	4.00000000000000000000e+00	4.00000000000000000000e+00
4.56186616736529160221e+01	-4.09408776573939349464e-03	4.53146545559910336465e+01	6.58317181830884834426e-01	-1.53854128829875591578e-01	4.00000000000000000000e+00	4.00000000000000000000e+00
5.49508523457986797212e+01	4.14152627247672822097e-03	5.45273896251762693055e+01	-8.29829466500496160108e-01	-1.53632776261202780299e-01	4.00000000000000000000e+00	4.00000000000000000000e+00
6.16556156891300304324e+01	-1.04264939470483813423e-03	6.11612311880930548114e+01	-1.80220690352433976500e+00	-1.43244158128774667915e-01	4.00000000000000000000e+00	4.00000000000000000000e+00
6.92727826790895022668e+01	-3.87938798757103860126e-04	6.86969229763291480140e+01	-2.91325896585034804787e+00	-1.48692673269773673050e-01	4.00000000000000000000e+00	4.00000000000000000000e+00
8.45539033209555839221e+01	1.75325508511492834766e-03	8.38149341609687468235e+01	-5.13944877680524569996e+00	-1.38260885649955589383e-01	4.00000000000000000000e+00	4.00000000000000000000e+00
1.31681230312656964543e+02	-6.07926936657620081011e-03	1.30327254750603344746e+02	-1.25722570948594132290e+01	-2.40197677077080395946e-01	4.00000000000000000000e+00	4.00000000000000000000e+00
1.39158625076803502907e+02	-9.53567491762967733848e-02	1.37243853670475118633e+02	-1.52872382845502201576e+01	-6.19436250835795676473e-01	4.00000000000000000000e+00	4.00000000000000000000e+00
1.45171515413087064417e+02	-9.42074280730206964352e-02	1.40907997264088692191e+02	-1.99520893166621249293e+01	-1.18935055668135891693e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
1.51895551304616390098e+02	1.69892273610874324982e-03	1.42054600007729106892e+02	-2.65482125833780244761e+01	-1.50036581137526137120e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
